
------------------------------ Clearup -------------------------------
NavGraph for maps/Raven_DM1.map loaded okay
Average edge length is 23.7036
Neighborhood range set to 24.7036
Partitioning navgraph nodes...
Loading map...
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Spawn Point
Creating a Spawn Point
Creating a Spawn Point
Creating a Health
Creating a Health
Creating a Health
Creating a rocket_launcher
Creating a Railgun
Creating a shotgun
Creating a shotgun
Creating a rocket_launcher
maps/Raven_DM1.map loaded okay
Adding a rocket 404 at pos  77.3828 366.002
Adding a shotgun shell 406 at pos  363.472 310.363
Adding a shotgun shell 407 at pos  363.472 310.363
Adding a shotgun shell 408 at pos  363.472 310.363
Adding a shotgun shell 409 at pos  363.472 310.363
Adding a shotgun shell 410 at pos  363.472 310.363
Adding a shotgun shell 411 at pos  363.472 310.363
Adding a shotgun shell 412 at pos  363.472 310.363
Adding a shotgun shell 413 at pos  363.472 310.363
Adding a shotgun shell 414 at pos  363.472 310.363
Adding a shotgun shell 415 at pos  363.472 310.363
Adding a shotgun shell 417 at pos  439.797 74.7269
Adding a shotgun shell 418 at pos  439.797 74.7269
Adding a shotgun shell 419 at pos  439.797 74.7269
Adding a shotgun shell 420 at pos  439.797 74.7269
Adding a shotgun shell 421 at pos  439.797 74.7269
Adding a shotgun shell 422 at pos  439.797 74.7269
Adding a shotgun shell 423 at pos  439.797 74.7269
Adding a shotgun shell 424 at pos  439.797 74.7269
Adding a shotgun shell 425 at pos  439.797 74.7269
Adding a shotgun shell 426 at pos  439.797 74.7269
Adding a rocket 428 at pos  239.121 46.8132
Adding a shotgun shell 430 at pos  431.978 99.5999
Adding a shotgun shell 431 at pos  431.978 99.5999
Adding a shotgun shell 432 at pos  431.978 99.5999
Adding a shotgun shell 433 at pos  431.978 99.5999
Adding a shotgun shell 434 at pos  431.978 99.5999
Adding a shotgun shell 435 at pos  431.978 99.5999
Adding a shotgun shell 436 at pos  431.978 99.5999
Adding a shotgun shell 437 at pos  431.978 99.5999
Adding a shotgun shell 438 at pos  431.978 99.5999
Adding a shotgun shell 439 at pos  431.978 99.5999
Adding a shotgun shell 441 at pos  425.341 123.7
Adding a shotgun shell 442 at pos  425.341 123.7
Adding a shotgun shell 443 at pos  425.341 123.7
Adding a shotgun shell 444 at pos  425.341 123.7
Adding a shotgun shell 445 at pos  425.341 123.7
Adding a shotgun shell 446 at pos  425.341 123.7
Adding a shotgun shell 447 at pos  425.341 123.7
Adding a shotgun shell 448 at pos  425.341 123.7
Adding a shotgun shell 449 at pos  425.341 123.7
Adding a shotgun shell 450 at pos  425.341 123.7
Adding a shotgun shell 452 at pos  427.129 124.374
Adding a shotgun shell 453 at pos  427.129 124.374
